Sociedad,ItemCode,Fecha Local,Precio Unit Local,Moneda Local,Proveedor Local,Fecha Internacional,Precio Unit Internacional,Moneda Internacional,Proveedor Internacional
MP,A18110008667,2019-05-09 00:00:00,21.9,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008668,2024-04-05 00:00:00,4.56,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008669,2025-03-31 00:00:00,3.99,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008670,2026-01-21 00:00:00,57.5,USD,SOUTHECK SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008671,2024-08-15 00:00:00,21.12,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008674,2019-05-08 00:00:00,6.7797,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008675,2025-11-20 00:00:00,30.5085,SOL,FERRETERIA Y REPUESTOS HIDRAULICOS MARLON S.A.C. - FERHIMAR S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008677,2024-08-05 00:00:00,24.5763,SOL,FERRETERIA Y REPUESTOS HIDRAULICOS MARLON S.A.C. - FERHIMAR S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008678,2020-12-28 00:00:00,15,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008680,2019-10-15 00:00:00,61.8644,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008682,2019-10-18 00:00:00,9.322,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008683,2019-05-13 00:00:00,14,SOL,HYDRAULIC SUPPLY COMPANY SAC,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008685,2020-10-06 00:00:00,12.94,USD,SOLUCIONES PESQUERAS S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008686,2025-11-26 00:00:00,2.93,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008687,2020-03-11 00:00:00,24.48,USD,OHS INDUSTRIALES E.I.R.L.,2022-10-24 00:00:00,32.1,USD,SMITH BERGER MARINE
MP,A18110008688,2019-05-10 00:00:00,11.0169,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110008690,2022-05-31 00:00:00,3.86,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
